tailnum,manufacturer,issue_date,model,status,aircraft_type,engine_type
N324AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N324NB,AIRBUS INDUSTRIE,2001-03-22,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N324SW,BOEING,2004-05-19,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N324US,AIRBUS INDUSTRIE,1992-02-11,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N325AA,BOEING,1986-12-24,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N325NB,AIRBUS INDUSTRIE,2001-04-26,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N325SW,BOEING,2004-05-19,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N325UA,BOEING,1988-09-08,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N325US,AIRBUS INDUSTRIE,1992-03-02,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N32626,BOEING,1996-04-14,737-524,1,Fixed Wing Multi-Engine,Turbo-Fan
N326AT,BOEING,2007-06-20,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N326NB,AIRBUS INDUSTRIE,2001-05-22,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N326SW,BOEING,2004-10-14,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N326UA,BOEING,2007-09-11,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N326US,AIRBUS INDUSTRIE,1992-03-04,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N327AA,BOEING,1999-12-10,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N327NB,AIRBUS INDUSTRIE,2001-05-18,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N327NW,AIRBUS INDUSTRIE,1992-04-01,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N327SW,BOEING,2004-10-26,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N327UA,BOEING,2006-06-30,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N328AA,BOEING,2004-04-09,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N328AT,BOEING,2007-07-13,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N328NB,AIRBUS INDUSTRIE,2001-06-14,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N328NW,AIRBUS INDUSTRIE,1992-04-08,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N328SW,BOEING,1988-05-26,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N328UA,BOEING,2006-07-14,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N329AA,BOEING,2004-04-09,767-223,1,Fixed Wing Multi-Engine,Turbo-Fan
N329AE,SAAB-SCANIA,1998-05-15,SAAB 340B,1,Fixed Wing Multi-Engine,Turbo-Prop
N329AT,BOEING,2007-07-18,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N329NB,AIRBUS INDUSTRIE,2001-07-19,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N329NW,AIRBUS INDUSTRIE,1992-05-05,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N329SW,BOEING,1988-04-25,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N329UA,BOEING,2006-07-27,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N330AT,BOEING,2007-07-25,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N330NB,AIRBUS INDUSTRIE,2001-07-26,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N330NW,AIRBUS INDUSTRIE,1992-05-07,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N330SW,BOEING,1988-04-13,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N330UA,BOEING,2006-06-08,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N33103,BOEING,1994-06-27,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N33132,BOEING,1998-07-01,757-224,1,Fixed Wing Multi-Engine,Turbo-Jet
N33182,EMBRAER,2005-04-27,EMB-145XR,1,Fixed Wing Multi-Engine,Turbo-Fan
N331AT,BOEING,2007-08-10,737-7BD,1,Fixed Wing Multi-Engine,Turbo-Fan
N331CA,BOMBARDIER INC,2007-12-20,CL-600-2C10,1,Fixed Wing Multi-Engine,Turbo-Fan
N331NB,AIRBUS INDUSTRIE,2001-08-23,A319-114,1,Fixed Wing Multi-Engine,Turbo-Fan
N331NW,AIRBUS INDUSTRIE,1992-06-08,A320-211,1,Fixed Wing Multi-Engine,Turbo-Jet
N331SW,BOEING,2008-01-18,737-3H4,1,Fixed Wing Multi-Engine,Turbo-Fan
N331UA,BOEING,2006-06-08,737-322,1,Fixed Wing Multi-Engine,Turbo-Fan
N33203,BOEING,2000-06-22,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N33209,BOEING,2000-09-01,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N3324L,DOUGLAS,1994-12-02,DC-9-32,1,Fixed Wing Multi-Engine,Turbo-Jet
N33262,BOEING,2001-07-27,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N33264,BOEING,2001-08-14,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N33266,BOEING,2001-08-30,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N33284,BOEING,2004-03-30,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N33286,BOEING,2004-05-24,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N33289,BOEING,2004-07-30,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N33292,BOEING,2004-12-22,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
N33294,BOEING,2005-08-23,737-824,1,Fixed Wing Multi-Engine,Turbo-Fan
